0 , 0.002319 , 0.000003 , 0.000004 , 0.000775 
1000 , 0.062619 , 0.065221 , 0.066530 , 0.064790 
2000 , 0.255925 , 0.248878 , 0.257236 , 0.254013 
3000 , 0.574980 , 0.556771 , 0.571088 , 0.567613 
4000 , 0.998946 , 1.005585 , 1.028440 , 1.010990 
5000 , 1.563797 , 1.547630 , 1.588021 , 1.566483 
6000 , 2.304730 , 2.309618 , 2.213645 , 2.275998 
7000 , 3.090491 , 3.077249 , 3.194467 , 3.120736 
8000 , 4.071481 , 4.034210 , 4.021864 , 4.042518 
9000 , 5.760392 , 5.094583 , 5.268178 , 5.374384 
10000 , 6.316576 , 6.314975 , 6.348235 , 6.326596 
