0 , 0.005432 , 0.000004 , 0.000007 , 0.001814 
1000 , 0.006117 , 0.005195 , 0.005569 , 0.005627 
2000 , 0.012377 , 0.011401 , 0.011861 , 0.011880 
3000 , 0.019370 , 0.019063 , 0.019769 , 0.019400 
4000 , 0.028110 , 0.026543 , 0.026869 , 0.027174 
5000 , 0.034137 , 0.033353 , 0.033980 , 0.033823 
6000 , 0.041854 , 0.041119 , 0.042603 , 0.041859 
7000 , 0.047605 , 0.051343 , 0.048229 , 0.049059 
8000 , 0.052633 , 0.055724 , 0.055348 , 0.054568 
9000 , 0.069235 , 0.061950 , 0.063282 , 0.064822 
10000 , 0.070224 , 0.074540 , 0.070637 , 0.071800 
